scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,condition
31,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,35.764,18.75,25.0,20,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.01,0.85,C2_cot
32,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.01,0.869,C2_cot
33,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,26.823,18.75,57.5,7,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.012,0.869,C2_cot
34,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.012,0.893,C2_cot
35,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.479,9.0,64.0,8,0.0,0.9062,58.23,13,30.43,69.57,0.0,0.011,0.916,C2_cot
36,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.011,0.863,C2_cot
37,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.011,0.869,C2_cot
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.012,0.869,C2_cot
39,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.375,18.75,74.5,12,0.0,0.8438,56.78,10,27.27,72.73,0.0,0.012,0.89,C2_cot
40,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,66.146,9.0,7.5,4,0.0,0.8125,57.51,7,20.0,80.0,0.0,0.012,0.865,C2_cot
41,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,30.208,9.0,40.25,5,0.0,0.875,61.93,9,28.57,71.43,0.0,0.012,0.899,C2_cot
42,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.012,0.869,C2_cot
43,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,38.542,9.0,25.25,19,0.0,0.875,59.88,9,33.33,66.67,0.0,0.012,0.895,C2_cot
44,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,38.194,9.0,26.5,20,0.0,0.875,60.09,9,33.33,66.67,0.0,0.008,0.895,C2_cot
45,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,28.0,16,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.006,0.85,C2_cot
46,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.006,0.893,C2_cot
47,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,26.823,18.75,57.5,7,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.007,0.869,C2_cot
48,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,26.823,18.75,57.5,7,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.007,0.869,C2_cot
49,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,35.764,18.75,25.0,20,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.007,0.85,C2_cot
50,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,44.097,9.0,26.75,15,0.0,0.875,57.51,5,14.29,85.71,0.0,0.007,0.843,C2_cot
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
52,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
53,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.008,0.863,C2_cot
54,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
55,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,39.0,1,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.008,0.85,C2_cot
56,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,30.208,9.0,40.25,5,0.0,0.875,61.93,9,28.57,71.43,0.0,0.008,0.899,C2_cot
57,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.604,15.75,55.5,11,0.0,0.8359,59.08,7,27.27,72.73,0.0,0.008,0.89,C2_cot
58,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
59,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,39.0,1,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.008,0.85,C2_cot
60,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.604,15.75,55.5,11,0.0,0.8359,59.08,7,27.27,72.73,0.0,0.007,0.89,C2_cot
61,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
62,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,35.764,18.75,25.0,20,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.007,0.85,C2_cot
63,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,35.764,18.75,25.75,19,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.006,0.85,C2_cot
64,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.007,0.886,C2_cot
65,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.583,18.75,74.25,12,0.0,0.8438,55.98,9,27.27,72.73,0.0,0.008,0.89,C2_cot
66,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,27.5,17,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.008,0.85,C2_cot
67,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,34.722,9.0,37.0,10,0.0,0.875,60.42,8,33.33,66.67,0.0,0.007,0.886,C2_cot
68,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.007,0.863,C2_cot
69,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.958,18.0,75.0,13,0.0,0.85,57.08,9,28.57,71.43,0.0,0.008,0.902,C2_cot
70,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,28.5,18,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.008,0.85,C2_cot
71,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.007,0.863,C2_cot
72,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.958,9.0,77.25,3,0.0,0.925,59.16,8,28.57,71.43,0.0,0.008,0.899,C2_cot
73,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.604,15.75,55.5,11,0.0,0.8359,59.08,7,27.27,72.73,0.0,0.008,0.89,C2_cot
74,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.958,9.0,77.25,3,0.0,0.925,59.16,8,28.57,71.43,0.0,0.008,0.899,C2_cot
75,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
76,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.958,18.0,75.0,13,0.0,0.85,57.08,9,28.57,71.43,0.0,0.008,0.902,C2_cot
77,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
78,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.74,9.0,58.75,12,0.0,0.9062,58.74,13,30.43,69.57,0.0,0.008,0.914,C2_cot
79,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.375,18.75,74.25,12,0.0,0.8438,55.89,9,27.27,72.73,0.0,0.008,0.884,C2_cot
80,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,32.639,9.0,37.25,10,0.0,0.875,60.75,8,33.33,66.67,0.0,0.008,0.886,C2_cot
81,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
82,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
83,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
84,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,21.458,18.75,75.75,6,0.0,0.8438,60.29,8,27.27,72.73,0.0,0.008,0.89,C2_cot
85,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.008,0.893,C2_cot
86,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.008,0.863,C2_cot
87,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
88,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.74,9.0,63.5,9,0.0,0.9062,58.6,13,30.43,69.57,0.0,0.008,0.916,C2_cot
89,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,66.146,9.0,7.5,4,0.0,0.8125,57.51,7,20.0,80.0,0.0,0.008,0.865,C2_cot
90,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,25.0,9.0,58.0,13,0.0,0.9062,58.95,13,30.43,69.57,0.0,0.008,0.916,C2_cot
91,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.583,18.75,74.25,12,0.0,0.8438,56.24,9,27.27,72.73,0.0,0.008,0.89,C2_cot
92,AVIAN_INFLUENZA,AI_LOW_SLAUGHTERHOUSE,low,slaughterhouse,1,30.0,50.521,9.0,20.0,1,0.0,0.8125,61.24,7,27.27,72.73,0.0,0.008,0.899,C2_cot
93,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,27.5,17,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.007,0.85,C2_cot
94,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.007,0.869,C2_cot
95,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,44.097,9.0,26.75,15,0.0,0.875,57.51,5,14.29,85.71,0.0,0.008,0.843,C2_cot
96,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,30.208,9.0,40.25,5,0.0,0.875,61.93,9,28.57,71.43,0.0,0.008,0.889,C2_cot
97,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.958,9.0,77.25,3,0.0,0.925,59.16,8,28.57,71.43,0.0,0.008,0.889,C2_cot
98,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.008,0.863,C2_cot
99,AVIAN_INFLUENZA,AI_LOW_SLAUGHTERHOUSE,low,slaughterhouse,1,30.0,50.521,9.0,20.0,1,0.0,0.8125,61.24,7,27.27,72.73,0.0,0.008,0.899,C2_cot
100,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.583,18.75,74.5,12,0.0,0.8438,56.21,9,27.27,72.73,0.0,0.008,0.89,C2_cot
