scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,condition
17,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
18,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.542,17.25,75.25,13,0.0,0.8562,57.18,9,42.86,57.14,0.0,0.01,0.879,C3_tot
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.219,9.0,63.5,9,0.0,0.9062,58.96,13,43.48,56.52,0.0,0.01,0.88,C3_tot
20,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,29.514,9.0,40.5,5,0.0,0.875,62.55,9,42.86,57.14,0.0,0.01,0.882,C3_tot
21,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,41.667,9.0,27.25,16,0.0,0.875,57.46,5,0.0,100.0,0.0,0.009,0.779,C3_tot
22,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,39.75,2,0.0,0.75,60.32,4,0.0,100.0,0.0,0.009,0.78,C3_tot
23,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,41.667,9.0,27.25,16,0.0,0.875,57.46,5,0.0,100.0,0.0,0.008,0.779,C3_tot
24,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.125,9.0,78.25,5,0.0,0.925,58.75,8,42.86,57.14,0.0,0.011,0.882,C3_tot
25,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.75,18.0,74.75,14,0.0,0.85,55.92,9,36.36,63.64,0.0,0.011,0.864,C3_tot
26,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.01,0.868,C3_tot
27,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.75,18.0,74.75,14,0.0,0.85,56.0,9,36.36,63.64,0.0,0.01,0.864,C3_tot
28,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
29,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.542,18.0,74.75,14,0.0,0.85,55.86,9,27.27,72.73,0.0,0.015,0.841,C3_tot
30,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,41.667,9.0,27.25,16,0.0,0.875,57.46,5,0.0,100.0,0.0,0.015,0.779,C3_tot
31,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,34.375,18.0,25.5,22,0.0,0.75,60.32,4,0.0,100.0,0.0,0.016,0.78,C3_tot
32,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.012,0.812,C3_tot
33,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,25.781,18.0,58.5,8,0.0,0.8125,60.32,6,0.0,100.0,0.0,0.016,0.781,C3_tot
34,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.015,0.845,C3_tot
35,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.219,9.0,64.0,8,0.0,0.9062,58.85,13,43.48,56.52,0.0,0.014,0.88,C3_tot
36,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.014,0.844,C3_tot
37,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.02,0.812,C3_tot
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.017,0.812,C3_tot
39,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.542,18.0,75.0,14,0.0,0.85,55.78,9,18.18,81.82,0.0,0.015,0.827,C3_tot
40,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,62.5,9.0,7.5,5,0.0,0.8125,57.46,7,20.0,80.0,0.0,0.015,0.825,C3_tot
41,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,29.514,9.0,40.5,5,0.0,0.875,62.55,9,42.86,57.14,0.0,0.015,0.882,C3_tot
42,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.014,0.812,C3_tot
43,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,38.194,9.0,26.25,23,0.0,0.875,59.41,9,0.0,100.0,0.0,0.016,0.8,C3_tot
44,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,37.847,9.0,26.0,21,0.0,0.875,59.32,9,8.33,91.67,0.0,0.015,0.817,C3_tot
45,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,28.25,17,0.0,0.75,60.32,4,0.0,100.0,0.0,0.013,0.78,C3_tot
46,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.008,0.845,C3_tot
47,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,25.781,18.0,58.5,8,0.0,0.8125,60.32,6,0.0,100.0,0.0,0.009,0.781,C3_tot
48,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,25.781,18.0,58.5,8,0.0,0.8125,60.32,6,0.0,100.0,0.0,0.009,0.781,C3_tot
49,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,34.375,18.0,25.5,22,0.0,0.75,60.32,4,0.0,100.0,0.0,0.01,0.78,C3_tot
50,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,41.667,9.0,27.25,16,0.0,0.875,57.46,5,0.0,100.0,0.0,0.008,0.779,C3_tot
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
52,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.011,0.812,C3_tot
53,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.01,0.844,C3_tot
54,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
55,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,39.75,2,0.0,0.75,60.32,4,0.0,100.0,0.0,0.011,0.78,C3_tot
56,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,29.514,9.0,40.5,5,0.0,0.875,62.55,9,42.86,57.14,0.0,0.01,0.882,C3_tot
57,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.083,15.0,56.0,12,0.0,0.8438,59.46,7,18.18,81.82,0.0,0.01,0.832,C3_tot
58,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.011,0.845,C3_tot
59,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,39.75,2,0.0,0.75,60.32,4,0.0,100.0,0.0,0.009,0.78,C3_tot
60,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.083,15.0,56.0,12,0.0,0.8438,59.46,7,18.18,81.82,0.0,0.01,0.832,C3_tot
61,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.01,0.868,C3_tot
62,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,34.375,18.0,26.0,21,0.0,0.75,60.32,4,0.0,100.0,0.0,0.009,0.78,C3_tot
63,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,34.375,18.0,26.0,21,0.0,0.75,60.32,4,0.0,100.0,0.0,0.007,0.78,C3_tot
64,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.009,0.845,C3_tot
65,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.75,18.0,74.75,14,0.0,0.85,56.11,9,18.18,81.82,0.0,0.01,0.823,C3_tot
66,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,27.75,18,0.0,0.75,60.32,4,0.0,100.0,0.0,0.01,0.78,C3_tot
67,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,34.028,9.0,36.75,11,0.0,0.875,60.88,8,0.0,100.0,0.0,0.009,0.8,C3_tot
68,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.009,0.844,C3_tot
69,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.542,17.25,75.25,13,0.0,0.8562,57.18,9,42.86,57.14,0.0,0.01,0.879,C3_tot
70,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,28.75,19,0.0,0.75,60.32,4,0.0,100.0,0.0,0.01,0.78,C3_tot
71,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.009,0.844,C3_tot
72,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.125,9.0,78.25,5,0.0,0.925,58.75,8,42.86,57.14,0.0,0.01,0.882,C3_tot
73,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.083,15.0,56.0,12,0.0,0.8438,59.46,7,18.18,81.82,0.0,0.01,0.832,C3_tot
74,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.125,9.0,78.25,5,0.0,0.925,58.75,8,42.86,57.14,0.0,0.011,0.882,C3_tot
75,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.01,0.868,C3_tot
76,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.542,17.25,75.25,13,0.0,0.8562,57.18,9,42.86,57.14,0.0,0.014,0.879,C3_tot
77,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.016,0.868,C3_tot
78,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.479,9.0,58.75,12,0.0,0.9062,59.38,13,43.48,56.52,0.0,0.013,0.88,C3_tot
79,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.75,18.0,75.0,14,0.0,0.85,56.03,9,18.18,81.82,0.0,0.01,0.823,C3_tot
80,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,31.944,9.0,37.25,11,0.0,0.875,60.21,8,0.0,100.0,0.0,0.011,0.8,C3_tot
81,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.009,0.845,C3_tot
82,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
83,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.011,0.868,C3_tot
84,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,20.625,18.0,76.25,7,0.0,0.85,60.32,8,18.18,81.82,0.0,0.01,0.823,C3_tot
85,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,2,30.0,25.781,9.0,58.0,3,0.0,0.9062,60.32,6,36.36,63.64,0.0,0.01,0.868,C3_tot
86,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.01,0.844,C3_tot
87,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
88,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.479,9.0,63.5,9,0.0,0.9062,59.24,13,43.48,56.52,0.0,0.01,0.88,C3_tot
89,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,62.5,9.0,7.5,5,0.0,0.8125,57.46,7,20.0,80.0,0.0,0.01,0.825,C3_tot
90,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.74,9.0,58.0,13,0.0,0.9062,59.59,13,43.48,56.52,0.0,0.01,0.88,C3_tot
91,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.958,18.0,74.75,14,0.0,0.85,56.38,9,18.18,81.82,0.0,0.01,0.823,C3_tot
92,AVIAN_INFLUENZA,AI_LOW_SLAUGHTERHOUSE,low,slaughterhouse,1,30.0,48.958,9.0,20.25,1,0.0,0.8125,60.38,7,36.36,63.64,0.0,0.011,0.868,C3_tot
93,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,28.25,17,0.0,0.75,60.32,4,0.0,100.0,0.0,0.009,0.78,C3_tot
94,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.008,0.812,C3_tot
95,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,41.667,9.0,27.25,16,0.0,0.875,57.46,5,0.0,100.0,0.0,0.014,0.779,C3_tot
96,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,29.514,9.0,40.5,5,0.0,0.875,62.55,9,42.86,57.14,0.0,0.015,0.882,C3_tot
97,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.125,9.0,78.25,5,0.0,0.925,58.75,8,42.86,57.14,0.0,0.015,0.882,C3_tot
98,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.014,0.844,C3_tot
99,AVIAN_INFLUENZA,AI_LOW_SLAUGHTERHOUSE,low,slaughterhouse,1,30.0,48.958,9.0,20.25,1,0.0,0.8125,60.38,7,36.36,63.64,0.0,0.015,0.868,C3_tot
100,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,23.75,18.0,75.25,13,0.0,0.85,56.14,9,18.18,81.82,0.0,0.015,0.823,C3_tot
