timestamp,node_id,node_type,live_inventory,production_capacity,planned_capacity,growth_status,mortality_rate,outgoing_orders,feed_stock,expected_daily_feed,disease_alert,production_ratio,feed_days_remaining,disrupted
2026-01-07 06:00,farm_1,farm,656.0,760.0,800,normal,0.0195,513.0,510.0,80,0,0.95,6.4,0
2026-01-07 15:00,farm_1,farm,640.0,786.0,800,normal,0.021,487.0,455.0,80,0,0.982,5.7,0
2026-01-08 00:00,farm_1,farm,605.0,755.0,800,normal,0.0232,506.0,487.0,80,0,0.944,6.1,0
2026-01-08 09:00,farm_1,farm,572.0,800.0,800,normal,0.0203,486.0,497.0,80,0,1.0,6.2,0
2026-01-08 18:00,farm_1,farm,574.0,771.0,800,normal,0.0195,522.0,449.0,80,0,0.964,5.6,0
2026-01-09 03:00,farm_1,farm,559.0,745.0,800,normal,0.0227,517.0,473.0,80,0,0.931,5.9,0
2026-01-09 12:00,farm_1,farm,783.0,741.0,800,normal,0.0227,481.0,384.0,80,0,0.926,4.8,0
2026-01-09 21:00,farm_1,farm,780.0,769.0,800,normal,0.0205,502.0,446.0,80,0,0.961,5.6,0
2026-01-10 06:00,farm_1,farm,739.0,756.0,800,normal,0.0206,497.0,468.0,80,0,0.945,5.8,0
2026-01-10 15:00,farm_1,farm,715.0,773.0,800,normal,0.0227,510.0,440.0,80,0,0.966,5.5,0
2026-01-11 00:00,farm_1,farm,687.0,769.0,800,normal,0.0177,468.0,521.0,80,0,0.961,6.5,0
2026-01-11 09:00,farm_1,farm,658.0,759.0,800,normal,0.0178,497.0,435.0,80,0,0.949,5.4,0
2026-01-11 18:00,farm_1,farm,642.0,745.0,800,normal,0.0198,504.0,463.0,80,0,0.931,5.8,0
2026-01-12 03:00,farm_1,farm,605.0,733.0,800,normal,0.0214,453.0,479.0,80,0,0.916,6.0,0
2026-01-12 12:00,farm_1,farm,592.0,752.0,800,normal,0.0229,464.0,515.0,80,0,0.94,6.4,0
2026-01-12 21:00,farm_1,farm,562.0,775.0,800,normal,0.0264,448.0,435.0,80,0,0.969,5.4,0
2026-01-13 06:00,farm_1,farm,533.0,764.0,800,normal,0.0246,480.0,508.0,80,0,0.955,6.4,0
2026-01-13 15:00,farm_1,farm,789.0,738.0,800,normal,0.0215,498.0,475.0,80,0,0.922,5.9,0
2026-01-14 00:00,farm_1,farm,767.0,763.0,800,normal,0.0219,512.0,448.0,80,0,0.954,5.6,0
2026-01-14 09:00,farm_1,farm,756.0,767.0,800,normal,0.019,486.0,488.0,80,0,0.959,6.1,0
2026-01-14 18:00,farm_1,farm,727.0,744.0,800,normal,0.0219,514.0,481.0,80,0,0.93,6.0,0
2026-01-15 03:00,farm_1,farm,683.0,763.0,800,normal,0.0211,460.0,458.0,80,0,0.954,5.7,0
2026-01-15 12:00,farm_1,farm,669.0,761.0,800,normal,0.023,454.0,477.0,80,0,0.951,6.0,0
2026-01-15 21:00,farm_1,farm,651.0,739.0,800,normal,0.0195,484.0,464.0,80,0,0.924,5.8,0
2026-01-16 06:00,farm_1,farm,595.0,766.0,800,normal,0.0236,492.0,478.0,80,0,0.958,6.0,0
2026-01-16 15:00,farm_1,farm,596.0,770.0,800,normal,0.0266,484.0,494.0,80,0,0.962,6.2,0
2026-01-17 00:00,farm_1,farm,555.0,779.0,800,normal,0.0217,448.0,519.0,80,0,0.974,6.5,0
2026-01-17 09:00,farm_1,farm,543.0,779.0,800,normal,0.0232,483.0,440.0,80,0,0.974,5.5,0
2026-01-17 18:00,farm_1,farm,791.0,735.0,800,normal,0.0241,462.0,535.0,80,0,0.919,6.7,0
2026-01-18 03:00,farm_1,farm,752.0,743.0,800,normal,0.0208,497.0,420.0,80,0,0.929,5.2,0
2026-01-18 12:00,farm_1,farm,728.0,769.0,800,normal,0.0227,492.0,471.0,80,0,0.961,5.9,0
2026-01-18 21:00,farm_1,farm,721.0,769.0,800,normal,0.022,468.0,491.0,80,0,0.961,6.1,0
2026-01-19 06:00,farm_1,farm,698.0,769.0,800,normal,0.0223,476.0,483.0,80,0,0.961,6.0,0
2026-01-19 15:00,farm_1,farm,657.0,800.0,800,normal,0.0197,466.0,458.0,80,0,1.0,5.7,0
2026-01-20 00:00,farm_1,farm,649.0,770.0,800,normal,0.0221,484.0,469.0,80,0,0.962,5.9,0
2026-01-20 09:00,farm_1,farm,596.0,780.0,800,normal,0.0235,502.0,461.0,80,0,0.975,5.8,0
2026-01-20 18:00,farm_1,farm,588.0,777.0,800,normal,0.0264,467.0,458.0,80,0,0.971,5.7,0
2026-01-21 03:00,farm_1,farm,548.0,772.0,800,normal,0.0249,494.0,499.0,80,0,0.965,6.2,0
2026-01-21 12:00,farm_1,farm,529.0,754.0,800,normal,0.0285,475.0,485.0,80,0,0.942,6.1,0
2026-01-21 21:00,farm_1,farm,801.0,774.0,800,normal,0.0197,471.0,456.0,80,0,0.968,5.7,0
2026-01-22 06:00,farm_1,farm,763.0,746.0,800,normal,0.0246,483.0,500.0,80,0,0.932,6.2,0
2026-01-22 15:00,farm_1,farm,743.0,756.0,800,normal,0.0226,466.0,484.0,80,0,0.945,6.0,0
2026-01-23 00:00,farm_1,farm,733.0,751.0,800,normal,0.0286,475.0,498.0,80,0,0.939,6.2,0
2026-01-23 09:00,farm_1,farm,688.0,761.0,800,normal,0.0196,463.0,493.0,80,0,0.951,6.2,0
2026-01-23 18:00,farm_1,farm,678.0,800.0,800,normal,0.0195,520.0,452.0,80,0,1.0,5.6,0
2026-01-24 03:00,farm_1,farm,628.0,726.0,800,normal,0.0202,486.0,459.0,80,0,0.908,5.7,0
2026-01-24 12:00,farm_1,farm,622.0,772.0,800,normal,0.0156,472.0,496.0,80,0,0.965,6.2,0
2026-01-24 21:00,farm_1,farm,606.0,731.0,800,normal,0.0204,489.0,492.0,80,0,0.914,6.2,0
2026-01-25 06:00,farm_1,farm,533.0,752.0,800,normal,0.0197,483.0,474.0,80,0,0.94,5.9,0
2026-01-25 15:00,farm_1,farm,527.0,780.0,800,normal,0.0225,481.0,478.0,80,0,0.975,6.0,0
2026-01-26 00:00,farm_1,farm,807.0,761.0,800,normal,0.023,496.0,511.0,80,0,0.951,6.4,0
2026-01-26 09:00,farm_1,farm,771.0,741.0,800,normal,0.0276,499.0,458.0,80,0,0.926,5.7,0
2026-01-26 18:00,farm_1,farm,752.0,747.0,800,normal,0.0249,475.0,490.0,80,0,0.934,6.1,0
2026-01-27 03:00,farm_1,farm,714.0,772.0,800,normal,0.0203,475.0,469.0,80,0,0.965,5.9,0
2026-01-27 12:00,farm_1,farm,696.0,747.0,800,normal,0.0193,480.0,469.0,80,0,0.934,5.9,0
2026-01-27 21:00,farm_1,farm,666.0,764.0,800,normal,0.0235,444.0,506.0,80,0,0.955,6.3,0
2026-01-28 06:00,farm_1,farm,656.0,761.0,800,normal,0.018,458.0,498.0,80,0,0.951,6.2,0
2026-01-28 15:00,farm_1,farm,619.0,748.0,800,normal,0.0275,510.0,498.0,80,0,0.935,6.2,0
2026-01-29 00:00,farm_1,farm,593.0,799.0,800,normal,0.0255,515.0,512.0,80,0,0.999,6.4,0
2026-01-29 09:00,farm_1,farm,558.0,771.0,800,normal,0.0206,481.0,476.0,80,0,0.964,6.0,0
2026-01-29 18:00,farm_1,farm,531.0,724.0,800,normal,0.0169,495.0,494.0,80,0,0.905,6.2,0
2026-01-30 03:00,farm_1,farm,795.0,763.0,800,normal,0.0261,491.0,466.0,80,0,0.954,5.8,0
2026-01-30 12:00,farm_1,farm,778.0,748.0,800,normal,0.0217,535.0,484.0,80,0,0.935,6.0,0
2026-01-30 21:00,farm_1,farm,742.0,775.0,800,normal,0.0257,505.0,471.0,80,0,0.969,5.9,0
