scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
5,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,74.74,9.0,17.75,1,0.0,0.9062,89.78,hitl,6.0,45.45,9.09,27.27,0.614,0.83
5,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,17.188,,73.0,1,0.0,,52.69,reactive,,,,,,
6,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,11.198,3.0,74.0,24,0.0,0.9688,53.45,autonomous,6.0,,,,,
6,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,75.781,63.75,16.75,1,0.0,0.3359,90.17,hitl,6.0,70.0,30.0,0.0,0.657,0.975
6,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,4.948,,89.75,1,0.0,,45.41,reactive,,,,,,
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,100.0,9.0,0.0,0,87.57,0.8125,102.88,autonomous,2.0,,,,,
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,31.771,6.75,15.5,20,0.0,0.8594,53.65,hitl,4.0,87.5,0.0,12.5,0.649,0.925
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,48.438,,16.5,1,0.0,,56.34,reactive,,,,,,
8,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,20.573,6.75,62.75,15,0.0,0.9297,51.45,autonomous,13.0,,,,,
8,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,20.312,6.75,63.5,14,0.0,0.9297,51.09,hitl,13.0,61.9,33.33,0.0,0.54,0.949
8,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,9.896,,84.0,1,0.0,,43.12,reactive,,,,,,
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,94.444,59.25,0.0,0,10.61,0.1771,87.53,autonomous,4.0,,,,,
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,22.222,8.25,46.5,13,0.0,0.8854,52.47,hitl,4.0,66.67,0.0,33.33,0.516,0.85
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,27.083,,44.75,1,0.0,,54.61,reactive,,,,,,
10,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,23.09,45.139,9.0,36.0,7,0.0,0.875,94.71,autonomous,8.0,,,,,
10,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,23.09,26.042,6.75,41.75,14,0.0,0.9062,51.76,hitl,8.0,55.56,33.33,0.0,0.507,0.949
10,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,23.09,28.125,,45.25,1,0.0,,52.1,reactive,,,,,,
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,19.792,6.75,69.0,11,0.0,0.9297,51.07,autonomous,13.0,,,,,
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,44.01,9.0,49.75,9,0.0,0.9062,89.37,hitl,12.0,69.57,26.09,0.0,0.815,0.97
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,9.635,,84.0,1,0.0,,43.31,reactive,,,,,,
12,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,100.0,9.0,0.0,0,82.51,0.8125,101.99,autonomous,5.0,,,,,
12,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,23.438,3.0,22.75,19,0.0,0.9375,55.71,hitl,7.0,63.64,36.36,0.0,0.711,0.94
12,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,34.896,,24.75,1,0.0,,52.96,reactive,,,,,,
13,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,44.531,,46.75,11,0.0,,94.69,autonomous,6.0,,,,,
13,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,44.531,,47.0,10,0.0,,94.74,hitl,6.0,61.54,7.69,7.69,1.099,0.943
13,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,24.74,,63.5,2,0.0,,51.59,reactive,,,,,,
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,20.573,6.75,62.0,19,0.0,0.9297,50.78,autonomous,7.0,,,,,
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,44.531,,46.5,11,0.0,,94.74,hitl,6.0,61.54,15.38,0.0,1.114,0.977
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,9.375,,83.5,2,0.0,,41.79,reactive,,,,,,
15,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,19.531,6.75,64.75,15,0.0,0.9297,51.23,autonomous,13.0,,,,,
15,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,44.531,9.0,45.25,16,0.0,0.9062,89.69,hitl,12.0,82.61,4.35,4.35,0.929,0.967
15,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,23.09,9.375,,84.0,1,0.0,,41.9,reactive,,,,,,
16,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,15.885,6.75,67.75,18,0.0,0.9297,54.08,autonomous,6.0,,,,,
16,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,16.927,8.25,68.0,17,0.0,0.9141,53.3,hitl,6.0,62.5,37.5,0.0,0.929,0.947
16,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,5.208,,89.0,1,0.0,,43.45,reactive,,,,,,
17,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,10.677,2.25,73.75,24,0.0,0.9766,54.57,autonomous,6.0,,,,,
17,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,76.302,64.5,16.25,1,0.0,0.3281,89.63,hitl,6.0,60.0,10.0,20.0,0.878,0.854
17,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,4.688,,89.75,1,0.0,,45.01,reactive,,,,,,
18,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,17.5,8.25,81.5,21,0.0,0.9313,49.4,autonomous,9.0,,,,,
18,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,43.958,,58.0,14,0.0,,93.59,hitl,8.0,35.29,23.53,17.65,1.129,0.873
18,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,7.917,,106.5,2,0.0,,41.99,reactive,,,,,,
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,44.01,9.0,50.5,10,0.0,0.9062,88.16,autonomous,12.0,,,,,
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,15.365,3.0,72.5,16,0.0,0.9688,49.9,hitl,13.0,76.19,19.05,0.0,0.659,0.974
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,21.615,,67.75,1,0.0,,49.63,reactive,,,,,,
20,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,20.486,6.75,46.25,9,0.0,0.9062,52.66,autonomous,9.0,,,,,
20,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,21.528,7.5,46.75,10,0.0,0.8958,55.12,hitl,9.0,78.57,7.14,7.14,0.632,0.943
20,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,6.944,,65.0,1,0.0,,44.78,reactive,,,,,,
21,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,22.222,7.5,38.25,17,0.0,0.8958,54.0,autonomous,5.0,,,,,
21,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,100.0,9.0,0.0,0,82.3,0.875,102.27,hitl,3.0,50.0,33.33,16.67,0.472,0.864
21,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,6.944,,65.0,1,0.0,,44.67,reactive,,,,,,
22,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,93.056,57.75,0.0,0,7.33,0.1979,87.8,autonomous,4.0,,,,,
22,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,100.0,,0.0,0,24.55,,87.47,hitl,3.0,71.43,14.29,14.29,0.796,0.9
22,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,27.431,,44.75,1,0.0,,55.12,reactive,,,,,,
23,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,98.611,9.0,0.0,0,20.72,0.875,88.29,autonomous,6.0,,,,,
23,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,14.931,3.0,43.75,28,0.0,0.9583,53.85,hitl,5.0,75.0,25.0,0.0,0.591,0.955
23,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,27.778,,44.75,1,0.0,,54.58,reactive,,,,,,
24,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,23.09,9.375,3.0,92.0,23,0.0,0.975,55.71,autonomous,8.0,,,,,
24,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,23.09,62.917,9.0,31.5,2,0.0,0.925,88.52,hitl,8.0,50.0,21.43,0.0,0.883,0.952
24,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,23.09,3.958,,113.5,1,0.0,,46.33,reactive,,,,,,
25,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.542,110.25,58.5,15,0.0,0.0813,92.91,autonomous,9.0,,,,,
25,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.75,,58.25,15,0.0,,91.91,hitl,8.0,52.94,35.29,5.88,0.931,0.934
25,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,17.292,,90.5,1,0.0,,49.57,reactive,,,,,,
26,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,23.09,80.729,9.0,11.0,1,0.0,0.9062,89.51,autonomous,6.0,,,,,
26,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,23.09,80.99,9.0,11.0,1,0.0,0.9062,89.56,hitl,6.0,81.82,9.09,0.0,0.678,0.988
26,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,23.09,20.573,,69.0,1,0.0,,54.9,reactive,,,,,,
27,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,12.708,3.0,87.0,31,0.0,0.975,48.71,autonomous,9.0,,,,,
27,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.542,,58.5,15,0.0,,92.46,hitl,8.0,70.59,17.65,0.0,1.114,0.978
27,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,7.5,,107.75,1,0.0,,42.13,reactive,,,,,,
28,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,82.292,70.5,9.75,1,0.0,0.2656,89.59,autonomous,6.0,,,,,
28,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,75.0,63.0,17.75,1,0.0,0.3438,89.79,hitl,6.0,90.0,10.0,0.0,0.975,0.988
28,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,20.573,,69.0,1,0.0,,54.54,reactive,,,,,,
29,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.333,110.25,58.5,15,0.0,0.0813,92.75,autonomous,9.0,,,,,
29,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.542,,58.0,15,0.0,,93.08,hitl,8.0,64.71,11.76,11.76,1.024,0.919
29,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,17.083,,91.25,1,0.0,,49.23,reactive,,,,,,
30,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,100.0,9.0,0.0,0,85.12,0.875,102.66,autonomous,3.0,,,,,
30,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,100.0,9.0,0.0,0,85.09,0.875,102.67,hitl,3.0,100.0,0.0,0.0,0.806,1.0
30,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,26.736,,45.25,1,0.0,,54.51,reactive,,,,,,
31,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,100.0,,0.0,0,87.6,,103.01,autonomous,2.0,,,,,
31,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,100.0,,0.0,0,85.17,,102.67,hitl,2.0,50.0,50.0,0.0,0.783,0.921
31,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,32.639,,40.25,1,0.0,,56.41,reactive,,,,,,
32,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,16.927,8.25,68.0,17,0.0,0.9141,53.3,autonomous,6.0,,,,,
32,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,80.729,68.25,11.25,1,0.0,0.2891,90.11,hitl,6.0,60.0,10.0,0.0,1.152,0.99
32,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,5.469,,88.75,1,0.0,,45.07,reactive,,,,,,
33,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,16.146,6.75,66.75,17,0.0,0.9297,53.69,autonomous,6.0,,,,,
33,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,72.917,58.5,10.25,2,0.0,0.3906,85.85,hitl,6.0,50.0,12.5,0.0,1.093,0.989
33,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,5.208,,89.0,1,0.0,,45.09,reactive,,,,,,
34,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,76.302,9.0,16.25,1,0.0,0.9062,89.63,autonomous,6.0,,,,,
34,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,81.25,9.0,10.75,1,0.0,0.9062,89.73,hitl,6.0,72.73,27.27,0.0,0.68,0.951
34,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,17.188,,73.0,1,0.0,,52.54,reactive,,,,,,
35,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,14.844,3.0,72.75,16,0.0,0.9688,49.15,autonomous,13.0,,,,,
35,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,15.365,3.0,72.75,15,0.0,0.9688,50.29,hitl,13.0,66.67,19.05,14.29,0.533,0.887
35,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,23.09,9.115,,84.75,1,0.0,,42.77,reactive,,,,,,
36,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,23.09,100.0,9.0,0.0,0,87.52,0.8125,102.89,autonomous,2.0,,,,,
36,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,23.09,100.0,9.0,0.0,0,87.56,0.8125,102.89,hitl,2.0,66.67,33.33,0.0,0.532,0.931
36,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,23.09,48.438,,16.5,1,0.0,,56.31,reactive,,,,,,
37,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,16.146,6.75,67.5,18,0.0,0.9297,54.25,autonomous,6.0,,,,,
37,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,78.906,66.75,13.0,1,0.0,0.3047,89.49,hitl,6.0,50.0,30.0,10.0,0.75,0.909
37,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,5.208,,89.0,1,0.0,,43.61,reactive,,,,,,
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,11.198,3.0,74.5,25,0.0,0.9688,54.12,autonomous,6.0,,,,,
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,75.0,63.75,17.5,1,0.0,0.3359,89.35,hitl,6.0,70.0,10.0,10.0,0.864,0.93
38,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,4.948,,89.75,1,0.0,,45.81,reactive,,,,,,
39,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,12.083,3.0,88.25,30,0.0,0.975,48.31,autonomous,10.0,,,,,
39,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,43.333,110.25,59.75,13,0.0,0.0813,92.69,hitl,9.0,88.24,5.88,5.88,0.851,0.956
39,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,23.09,7.083,,107.75,1,0.0,,41.19,reactive,,,,,,
40,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,33.333,7.5,15.75,10,0.0,0.8438,55.31,autonomous,7.0,,,,,
40,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,100.0,9.0,0.0,0,82.42,0.8125,102.0,hitl,5.0,77.78,22.22,0.0,0.362,0.971
40,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,23.09,10.938,,40.75,1,0.0,,44.95,reactive,,,,,,
41,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,81.597,9.0,0.0,0,8.09,0.875,84.9,autonomous,9.0,,,,,
41,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,14.931,3.0,51.25,15,0.0,0.9583,53.29,hitl,9.0,71.43,14.29,14.29,0.65,0.901
41,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,23.09,27.431,,45.0,1,0.0,,54.64,reactive,,,,,,
42,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,75.26,63.75,17.5,1,0.0,0.3359,89.34,autonomous,6.0,,,,,
42,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,11.198,3.0,74.25,24,0.0,0.9688,53.49,hitl,6.0,33.33,33.33,33.33,0.654,0.776
42,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,23.09,17.448,,72.75,1,0.0,,52.76,reactive,,,,,,
43,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,45.139,9.0,30.75,19,0.0,0.875,95.22,autonomous,9.0,,,,,
43,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,26.736,6.75,30.25,25,0.0,0.9062,52.73,hitl,9.0,58.33,25.0,16.67,0.786,0.869
43,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,28.819,,44.5,2,0.0,,51.77,reactive,,,,,,
44,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,45.139,9.0,29.75,21,0.0,0.875,96.11,autonomous,9.0,,,,,
44,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,27.431,7.5,30.5,28,0.0,0.8958,52.07,hitl,9.0,66.67,25.0,8.33,0.622,0.902
44,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,37.153,,39.0,1,0.0,,54.74,reactive,,,,,,
45,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,100.0,,0.0,0,82.46,,101.23,autonomous,2.0,,,,,
45,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,100.0,,0.0,0,87.55,,103.01,hitl,2.0,16.67,33.33,50.0,0.613,0.661
45,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,23.09,23.264,,49.0,1,0.0,,52.94,reactive,,,,,,
46,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,11.198,3.0,72.75,19,0.0,0.9688,53.85,autonomous,6.0,,,,,
46,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,75.0,9.0,17.5,1,0.0,0.9062,89.92,hitl,6.0,72.73,9.09,0.0,0.632,0.988
46,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,4.948,,89.75,1,0.0,,46.01,reactive,,,,,,
47,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,72.396,57.75,10.25,2,0.0,0.3984,86.41,autonomous,6.0,,,,,
47,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,72.135,58.5,10.25,2,0.0,0.3906,85.88,hitl,5.0,80.0,20.0,0.0,0.682,0.969
47,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,24.219,,64.5,1,0.0,,56.32,reactive,,,,,,
48,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,68.229,54.75,14.5,1,0.0,0.4297,87.0,autonomous,6.0,,,,,
48,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,65.104,52.5,19.25,2,0.0,0.4531,87.06,hitl,6.0,62.5,25.0,0.0,0.542,0.966
48,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,23.09,20.573,,69.0,1,0.0,,54.32,reactive,,,,,,
49,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,100.0,,0.0,0,87.63,,103.01,autonomous,3.0,,,,,
49,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,22.222,7.5,33.5,35,0.0,0.8958,53.65,hitl,4.0,80.0,20.0,0.0,0.508,0.956
49,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,32.292,,40.5,1,0.0,,56.11,reactive,,,,,,
50,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,100.0,9.0,0.0,0,82.51,0.875,102.27,autonomous,3.0,,,,,
50,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,100.0,9.0,0.0,0,82.47,0.875,102.24,hitl,3.0,50.0,16.67,33.33,0.594,0.785
50,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,23.09,23.264,,48.75,1,0.0,,52.77,reactive,,,,,,
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,79.948,67.5,12.0,1,0.0,0.2969,89.88,autonomous,6.0,,,,,
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,16.146,6.75,66.75,20,0.0,0.9297,54.33,hitl,6.0,83.33,0.0,0.0,0.67,1.0
51,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,3,23.09,20.312,,69.25,1,0.0,,54.54,reactive,,,,,,
52,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,80.99,69.0,11.0,1,0.0,0.2812,89.56,autonomous,6.0,,,,,
52,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,15.885,6.75,68.75,16,0.0,0.9297,53.86,hitl,6.0,100.0,0.0,0.0,0.495,1.0
52,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,20.573,,69.0,1,0.0,,54.52,reactive,,,,,,
53,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,100.0,9.0,0.0,0,82.4,0.8125,102.03,autonomous,2.0,,,,,
53,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,30.729,6.75,18.5,21,0.0,0.8594,53.9,hitl,4.0,66.67,0.0,33.33,0.621,0.8
53,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,23.09,35.417,,24.5,1,0.0,,52.78,reactive,,,,,,
54,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,80.469,68.25,11.5,1,0.0,0.2891,89.47,autonomous,6.0,,,,,
54,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,85.938,81.0,5.0,1,0.0,0.1562,89.11,hitl,6.0,41.67,33.33,16.67,0.875,0.85
54,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,23.09,20.312,,69.25,1,0.0,,54.6,reactive,,,,,,
